Tom	1:57 2/2/3920	122
Jim	1:57 2/2/3920	120
TomH	1:50 2/3/2020	156
Jim	1:50 2/3/2020	150
Sak	4:50 2/3/2020	141
Sak	4:51 2/3/2020	141
Sig	4:51 2/3/2020	130
Ani	4:51 2/3/2020	106
Jim	7:15 2/3/2020	121
Ani	7:15 2/3/2020	146
TomH	7:16 2/3/2020	145
Tom	11:26 2/4/2020	116
Mike	2:9 2/4/2020	113
Mike	2:12 2/4/2020	123
Jim	17:45 03/25/2020	124
Jim	14:26 03/26/2020	139
Tom	14:26 03/26/2020	101
Mike	15:32 03/26/2020	125
TomH	15:32 03/26/2020	126
Jim	15:33 03/26/2020	178
Mike	15:36 03/26/2020	130
Tom	15:36 03/26/2020	121
Jim	15:36 03/26/2020	144
Tom	15:37 03/26/2020	115
Lana	15:38 03/26/2020	92
Lana	15:39 03/26/2020	132
Ani	15:39 03/26/2020	132
Tom	15:39 03/26/2020	145
Tom	15:39 03/26/2020	123
